Arp,Name,Mag,Size,Type,RA, Dec,Redshift (km/sec)
1,NGC 2857,12.2,2.3'x2.0',SA(s)c I-II,09 24 37 ,+49 21 ,
2,UGC 10310,13.2,2.8'x2.2',SB(s)m IV-V,16 16 18 ,+47 02 ,
3,MCG-01-57-016,13.4,2.5'x2.1',SA(s)m,22 36 34 ,-02 54 ,
4,MCG-02-05-50 +A,13.7,2.8'x2.4',IAB(rs)m,01 48 25 ,-12 22 ,
5,NGC 3664,12.8,2.1'x1.9',SB(s)m pec,11 24 24 ,+03 19 ,
6,NGC 2537,12.3,1.7'x1.5',SB(s)m pec,08 13 14 ,+45 59 ,"+415, +299 (1), +422 (4)"
7,MCG-03-23-009,14.5,1.3'x1.0',SB(rs) bc:,08 50 17 ,-16 34 ,
8,NGC 0497,13,2.1'x0.9',SB(r)b I-II,01 22 23 ,-00 52 ,
9,NGC 2523,11.9,3.0'x1.8',SB(r)bc I,08 14 59 ,+73 34 ,+3604 (1)
10,UGC 01775,13.8,1.5'x1.5',S?,02 18 26 ,+05 39 ,
11,UGC 00717,14.4,1.5'x1.0',SBb,01 09 23 ,+14 20 ,
12,NGC 2608,12.2,2.3'x1.4',SB(s)b: II,08 35 17 ,+28 28 ,+2041 (1)
13,NGC 7448,11.6,2.7'x1.2',SA(rs)bc,23 00 02 ,+15 59 ,+2649 (1)
14,NGC 7314,10.9,4.6'x2.1',SAB(rs)c: II,22 35 45 ,-26 03 ,+1838 (1)
15,NGC 7393,12.6,2.0'x0.9',SAB?(r:)b?,22 51 39 ,-05 33 ,"+3975 (1), +3972 (4)"
16,M66,8.9,9.1'x4.2',SAB(s)b II,11 20 14 ,+12 59 ,"+633 (1), +591 (4)"
17,UGC 03972,14.7,0.9'x0.6',SB,07 44 32 ,+73 49 ,
17,UGC 03972,,1.1'x0.6',,07 44 38 ,+73 48 ,
18,NGC 4088,10.5,5.8'x2.3',SAB(rs)bc,12 05 35 ,+50 32 ,"+820 (1), +812 (4)"
19,NGC 0145,13.2,1.8'x1.3',SB(s)dm,00 31 45 ,-05 09 ,
20,UGC 03014,14.4,1.2'x0.7',SB?,04 19 53 ,+02 05 ,
21,CGCG 155-056,14.7,0.8'x0.7',Spiral,11 04 58 ,+30 01 ,
22,ESO 572-G036,14.9,0.9'x0.6',IB(s)m,11 59 29 ,-19 19 ,+1701 (4)
22,NGC 4027,11.2,3.2'x2.4',SB(s)dm,11 59 30 ,-19 15 ,
23,NGC 4618,10.8,4.2'x3.4',SB(rs)m,12 41 32 ,+41 09 ,+541 (1)
24,NGC 3445,12.6,1.6'x1.5',SAB(s)m,10 54 36 ,+56 59 ,
24,UGC 06021,12.8,0.5'x0.1,IRR,10 54 45 ,+56 57 ,
25,NGC 2276,11.4,2.8'x2.7',SAB(rs)c,07 27 13 ,+85 45 ,+2595 (1)
26,M101,7.9,28.9'x27.0,SAB(rs)cd I,14 03 12 ,+54 21 ,"+394 (1), +415 (4)"
