arp,name,ned_name,ra_deg,dec_deg,ra_hours,source
82,NGC 2535 + 36,NGC 2535,122.8062,25.20687,8.18708,NED
6,NGC 2537,NGC 2537,123.31113,45.98999,8.220742,NED
9,NGC 2523,NGC 2523,123.7508,73.57894,8.250053,NED
268,Holmberg II,Holmberg II,124.77006,70.71992,8.318004,NED
247,IC 2338 + 39,IC 2338,125.88606,21.33813,8.392404,NED
58,UGC 04457,UGC 04457,127.99018,19.21151,8.532679,NED
12,NGC 2608,NGC 2608,128.82221,28.47341,8.588147,NED
243,NGC 2623,NGC 2623,129.60032,25.75465,8.640021,NED
89,NGC 2648 + comp,NGC 2648,130.66585,14.2856,8.711057,NED
80,NGC 2633,NGC 2633,132.01904,74.09892,8.801269,NED
167,NGC 2672,NGC 2672,132.3412,19.07499,8.822747,NED
7,MCG-03-23-009,ARP 007,132.5846,-16.57952,8.838973,NED
257,UGC 04638,UGC 04638,132.90833,-2.36028,8.860555,NED
195,UGC 04653,UGC 04653,133.47712,35.14826,8.898475,NED
336,NGC 2685,NGC 2685,133.8947,58.73442,8.926313,NED
225,NGC 2655,NGC 2655,133.9083,78.2233,8.92722,NED
202,NGC 2719 + A,NGC 2719,135.06449,35.72794,9.004299,NED
287,NGC 2735 + A,NGC 2735,135.66114,25.93443,9.044076,NED
215,NGC 2782,NGC 2782,138.52126,40.1137,9.234751,NED
55,UGC 04881,UGC 04881,138.97997,44.33203,9.265331,NED
283,NGC 2798 + 99,NGC 2798,139.34497,41.99973,9.289665,NED
315,NGC 2832,NGC 2832,139.94521,33.74979,9.329681,NED
285,NGC 2854 + 56,NGC 2854,141.01294,49.20425,9.400863,NED
1,NGC 2857,NGC 2857,141.15735,49.35716,9.41049,NED
307,NGC 2872 + 74,NGC 2872,141.42724,11.43216,9.428483,NED
275,NGC 2881,NGC 2881,141.47583,-11.99389,9.431722,NED
237,UGC 05044,UGC 05044,141.93346,12.28675,9.462231,NED
300,UGC 05029,UGC 05029,142.01082,68.42032,9.467388,NED
207,UGC 05050,UGC 05050,142.78997,76.46406,9.519331,NED
232,NGC 2911,NGC 2911,143.44211,10.15245,9.562807,NED
137,NGC 2914,NGC 2914,143.51161,10.1087,9.567441,NED
221,MCG-02-25-006,ARP 221 NED01,144.1168,-11.33028,9.607787,NED
