#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-14T17:12:51 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-14T17:12:51	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.all=2&-order=I&-out.src=VII/192/arpord,VII/192/arplist&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-x.rs=10&-source=VII/192/arpord VII/192/arplist&-out=Arp&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Size&-out=Orient&-out=fl_245&-out=fl_ST6&-out=fl_ST5&-out=APG&-out=Simbad&-out=NED&-out=VT&-out=u_VT&-out=dim1&-out=dim2&-out=u_dim2&-out=MType&-out=Uchart&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_7192
#Name: VII/192
#Title: Arp's Peculiar Galaxies (Webb 1996)
#INFO	ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/192	    IVOID of underlying data collection
#INFO	creator=Webb D.	    First author or institution
#INFO	cites=bibcode:1996S&T....92...92W	    Article or Data origin sources
#INFO	journal=S&T	    Journal name
#INFO	original_date=1996	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/192	    Dataset landing page
#INFO	publication_date=2017-10-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	VII_192_arpord:
#Name: VII/192/arpord
#Title: list of Arp views with imaging data
#Column	Arp	(I3)	Arp number from original catalog	[ucd=meta.id;meta.main]
#Column	Name	(a17)	Common name (group or brightest)	[ucd=meta.id]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A8)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Size	(F4.1)	Long dimension of Arp's original photo	[ucd=phys.angSize]
#Column	Orient	(A1)	[N,S,E,W,?] Orientation of Arp photo	[ucd=meta.note]
#Column	fl_245	(I3)	?Focal length for CB245 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST6	(I3)	?Focal length for SBIG ST6 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	fl_ST5	(I3)	?Focal length for SBIG ST5 CCD Camera (1)	[ucd=instr.tel.focalLength]
#Column	APG	(A3)	Values from the original Arp's catalog of Peculiar Galaxies (Arp 1966, Cat. VII/74)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref]
#Column	NED	(A3)	Simbad column added by the CDS	[ucd=meta.ref]
Arp|Name|RAJ2000|DEJ2000|Size|Orient|fl_245|fl_ST6|fl_ST5|APG|Simbad|NED
 | |"h:m:s"|"d:m:s"|arcmin| |2.54cm|2.54cm|2.54cm| | |
---|-----------------|--------|--------|----|-|---|---|---|---|------|---
  1|NGC 2857         |09 24 38|+49 21.4| 5.2|E|168|224| 84|APG|Simbad|NED
  2|UGC 10310        |16 16 18|+47 02.8| 3.5|E|252|336|126|APG|Simbad|NED
  3|MCG-01-57-016    |22 36 34|-02 54.3| 5.2|N|168|224| 84|APG|Simbad|NED
  4|MCG-02-05-50+A   |01 48 26|-12 22.9| 3.5|E|252|336|126|APG|Simbad|NED
  5|NGC 3664         |11 24 25|+03 19.6| 2.6|N|336|448|168|APG|Simbad|NED
  6|NGC 2537         |08 13 14|+45 59.5| 2.6|E|336|448|168|APG|Simbad|NED
  7|MCG-03-23-009    |08 50 17|-16 34.6| 2.6|N|336|448|168|APG|Simbad|NED
  8|NGC 0497         |01 22 23|-00 52.5| 3.5|S|252|336|126|APG|Simbad|NED
  9|NGC 2523         |08 14 59|+73 34.8| 3.5|E|252|336|126|APG|Simbad|NED
 10|UGC 01775        |02 18 26|+05 39.2| 2.6|E|336|448|168|APG|Simbad|NED
 11|UGC 00717        |01 09 23|+14 20.2| 5.2|W|168|224| 84|APG|Simbad|NED
 12|NGC 2608         |08 35 17|+28 28.4| 3.5|S|252|336|126|APG|Simbad|NED
 13|NGC 7448         |23 00 02|+15 59.4| 2.6|S|336|448|168|APG|Simbad|NED
 14|NGC 7314         |22 35 46|-26 03.0| 5.2|N|168|224| 84|APG|Simbad|NED
 15|NGC 7393         |22 51 40|-05 33.5| 2.6|E|336|448|168|APG|Simbad|NED
 16|MESSIER 66       |11 20 15|+12 59.3|10.4|S| 84|112| 42|APG|Simbad|NED
 17|UGC 03972        |07 44 33|+73 49.8| 2.1|W|420|560|210|APG|Simbad|NED
 18|NGC 4088         |12 05 35|+50 32.5| 5.2|E|168|224| 84|APG|Simbad|NED
 19|NGC 0145         |00 31 45|-05 09.2| 2.6|E|336|448|168|APG|Simbad|NED
 20|UGC 03014        |04 19 54|+02 05.7| 2.1|W|420|560|210|APG|Simbad|NED
 21|CGCG 155-056     |11 04 59|+30 01.6| 2.1|S|420|560|210|APG|Simbad|NED
 22|NGC 4027         |11 59 31|-19 15.8|10.4|N| 84|112| 42|APG|Simbad|NED
 23|NGC 4618         |12 41 32|+41 09.0|20.8|W| 42| 56| 21|APG|Simbad|NED
 24|NGC 3445         |10 54 37|+56 59.4| 3.5|E|252|336|126|APG|Simbad|NED
 25|NGC 2276         |07 27 13|+85 45.3| 5.2|N|168|224| 84|APG|Simbad|NED
 26|MESSIER 101      |14 03 13|+54 21.0|32.4|N| 27| 36| 14|APG|Simbad|NED
 27|NGC 3631         |11 21 02|+53 10.3| 5.2|E|168|224| 84|APG|Simbad|NED
 28|NGC 7678         |23 28 28|+22 25.3| 2.6|W|336|448|168|APG|Simbad|NED
 29|NGC 6946         |20 34 52|+60 09.2|20.8|E| 42| 56| 21|APG|Simbad|NED
 30|NGC 6365A + B    |17 22 43|+62 10.4| 2.6|N|336|448|168|APG|Simbad|NED
 31|IC 0167          |01 51 08|+21 54.8| 3.5|E|252|336|126|APG|Simbad|NED
