Telescope,Platform,Aperture (in),Aperature (mm),Focal Length (mm),F-Ratio,Optical Tube Assembly,Optical Design,Camera,Sensor Type,CMOS Sensor Model,Sensor Size / Format (mm),"Camera Angle
(""Up"" = Deg. East of N)",FOV X (arcmins),FOV Y (arcmins),Pixel Size (µm),Resolution (arcsec / pixel),Sensor Megapixels,Array X,Array Y,Peak QE,Full Well,N/ABG,Recommended Max Exposure (seconds),Guiding,Mount,Filters,Notes,"Additional System Specifications
(e.g. horizon limits, special notes)"
,Utah Desert Remote Observatory (MPC U94),,,,,,,,Note: Sensors generally have 16-bit ADCs unless other values are provided,,,,,,,,,,,,,,,,,,,
T2,One Shot Color,5.9,150,1105.1,f/7.3,Takahashi TOA-150,Apochromatic Refractor,QHY268C,"Color CMOS
(RGGB Bayer)",Sony IMX571,"23.5 x 15.7
(APS-C)",178.683º,72.6,48.6,3.76,"0.69""",26.4,6280,4210,90%,51Ke,—,300,MOAG with Loadstar SX2,Paramount GTS,None,"Large (26 MP, 16-bit) FITS files",Telescope System Information and Specs
T5,Medium Deep Space,9.8,250,850,f/3.4,Takahashi Epsilon 250,Hyperbolic Flat-Field,SBIG ST-10XME,CCD,—,14.9 x 10.0,177º,60.6,40.8,6.8,"1.66""",3.2,2184,1472,85%,100Ke,NABG,300,External Guiding,Paramount PME,"Red Green Blue, Ha, SII, OIII, Clear and Johnson's Cousin's Photometric B,V, and I filters.",Non Anti Bloom Gate (NABG) CCD. Bright stars will bloom or bleed in long exposures. Keep your exposures short if very bright stars are in your target FoV.,Telescope System Information and Specs
T11,Deep Space,20.1,510,"2280
(0.66 reducer)",f/4.5,Planewave CDK20,Corrected Dall-Kirkham,FLI ProLine PL11002M,CCD,—,"36 x 24
(Full Format)",186.9º,54.3,36.2,9,"0.81""",10.7,4008,2672,51%,60Ke,ABG,600,Active Guiding Disabled,Planewave Ascension 200HR,"AstroDon - Luminance, Red, Green, Blue. 3nm Ha3_50R, Sii3_50R, Oiii_50R. U, B, V, R, I",Optics more sensitive to stray light gradients (e.g. during full moon),Telescope System Information and Specs
T14,Wide Field,4.2,106,530,f/5.0,Takahashi FSQ Fluorite,Petzval Apochromatic Refractor,SBIG STX-16803,CCD,—,36.8 x 36.8,90º,238.8,238.8,9,"3.5""",16.8,4096,4096,60%,100Ke,ABG,600,Unguided,Paramount ME,"LRGB, Ha (5nm), SII(5nm), OIII(5nm), V Filters",Dithering recommended,Telescope System Information and Specs
T20,Wide Field,4.2,106,530,f/5.0,Takahashi FSQ-ED,Petzval Apochromatic Refractor,ZWO ASI2400C,"Color CMOS
(14-bit ADC)
(RGGB Bayer)",Sony IMX410,"36 x 24
(Full Format)",358.4º,233.7,155.8,5.94,"2.31""",24.5,6072,4042,>80%,50Ke,ABG,300,Unguided,Paramount ME,"Optolong Lpro, Optolong LUltimate (Ha/OIII 3nm dual band), Astrodon Ha (3nm), SII (3nm) & OIII (5nm)",FoV Rotated 90° relative to T14 for different framing opportunities.,Telescope System Information and Specs
T21,Deep Space,17.0,431,"1940
(0.66 reducer)",f/4.5,Planewave CDK17,Corrected Dall-Kirkham,FLI-PL6303E,CCD,—,27.6 x 18.4,359º,49.2,32.8,9,"0.96""",6.3,3072,2048,68%,100Ke,NABG,600,Active Guiding Disabled,Planewave Ascension 200HR,"Astrodon LRGB 50mm unmounted, Astrodon Ha, SII, OIII, 5nm, 50 mm unmounted, Astrodon UBVRI John/Cousins",Photometry and Imaging system. Sensitive NABG CCD - susceptible to blooming artifacts from bright subjects,Telescope System Information and Specs
T25,Deep Space,20.0,508,3454,f/6.8,Planewave CDK20,Corrected Dall-Kirkham,Player One Zeus 455M PRO,Mono CMOS,Sony IMX455,"36 x 24
(Full Format)",251.9º,36.2,24.2,3.76,"0.23""",61.2,9576,6388,91%,71.6Ke,—,600,None,Planewave L-500,"Astrodon LRGB Gen2 I-Series Tru-Balance filters, Astrodon 3nm SII,Ha,OIII",Produces very large files,Telescope System Information and Specs
T26,Deep Space,20.0,508,1537,f/3.0,Planewave Delta Rho 500,Advanced Corrected Cassegrain Focus,ASI6200MM Pro (mono),Mono CMOS,Sony IMX455,"36 x 24
(Full Format)",181º,80.4,54,7.52 (Bin2),"1.01""",15.3,4788,3194,91%,51.4Ke,—,300,None,Planewave L-550 on Equatorial Wedge,"Chroma Filters:
Wideband: Luminance, Red, Green & Blue
Narrowband: SII, Ha & OIII with a 3nm optimise passband","Bin2 only due to current software limitations
Recommended Exposures: LRGB: 30s-180s.
Narrowband: 180s-300s. 900s Available",Telescope System Information and Specs
T68,"One Shot Color
(30 min free / day)",11.0,279,620,f/2.2,"Celestron RASA 11""",Rowe Ackerman Schmidt Astrograph,ZWO ASI2600 Color,"Color CMOS
(RGGB Bayer)",Sony IMX571,"23.6 x 15.6
(APS-C)",277º,130.2,87,3.76,"1.25""",26.1,6248,4176,>50%,—,—,240,Via Mount,Paramount ME II,None,"Full-Time Free Telescope System
Large (26 MP, 16-bit) FITS files",Telescope System Information and Specs
